stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t	HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t		iron_aquisition-heme_oxygenase	HemO-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t.hmm	25	0.0	2026-04-21	active
HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc	HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc		iron_aquisition-heme_oxygenase	HmoB-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc.hmm	25	0.0	2026-04-21	active
HugZ-ChuZ-heme_oxygenase-rep	HugZ-ChuZ-heme_oxygenase-rep		iron_aquisition-heme_oxygenase	HugZ-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HugZ-ChuZ-heme_oxygenase-rep.hmm	25	192.0	2026-04-21	active
HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc	HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc		iron_aquisition-heme_oxygenase	HupZ-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc.hmm	25	0.0	2026-04-21	active
Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia	Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia		iron_aquisition-heme_oxygenase	Isd-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia.hmm	25	62.0	2026-04-21	active
IsdG-heme-oxygenase_fam1-rep	IsdG-heme-oxygenase_fam1-rep		iron_aquisition-heme_oxygenase	IsdG-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam1-rep.hmm	15	102.0	2026-04-21	active
IsdG-heme-oxygenase_fam2-rep	IsdG-heme-oxygenase_fam2-rep		iron_aquisition-heme_oxygenase	IsdG-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam2-rep.hmm	8	101.8	2026-04-21	active
IsdG-heme-oxygenase_fam3-rep	IsdG-heme-oxygenase_fam3-rep		iron_aquisition-heme_oxygenase	IsdG-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam3-rep.hmm	4	647.7	2026-04-21	active
IsdI-heme-oxygenase-rep	IsdI-heme-oxygenase-rep		iron_aquisition-heme_oxygenase	IsdI-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdI-heme-oxygenase-rep.hmm	3	77.0	2026-04-21	active
MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5	MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5		iron_aquisition-heme_oxygenase	MhuD-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5.hmm	25	138.0	2026-04-21	active
PF01126-HmuO_Heme_oxygenase	PF01126-HmuO_Heme_oxygenase	PF01126.20	iron_aquisition-heme_oxygenase	HmuO-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/PF01126-HmuO_Heme_oxygenase.hmm	18	23.0	2026-04-21	active
PF05171-HemS-PhuS-ChuS	PF05171-HemS-PhuS-ChuS	PF05171.12	iron_aquisition-heme_oxygenase	HemS-family-heme-degradation	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/PF05171-HemS-PhuS-ChuS.hmm	62	20.4	2026-04-21	active
PF06228_ChuX_HutX	PF06228_ChuX_HutX	PF06228.13	iron_aquisition-heme_oxygenase	ChuX-family-substrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/PF06228_ChuX_HutX.hmm	112	25.3	2026-04-21	active
PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7	PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7		iron_aquisition-heme_oxygenase	PigA-family-heme-oxygenase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7.hmm	25	17.2	2026-04-21	active
